S3A: # Lever out AUC Pre-separation,Vole ID,Partner,Novel,,S3B: # Lever out AUC Pre-separation,Vole ID,Partner trial - Press,Partner trial -No press,,S3C: # Lever out AUC Pre-separation,Vole ID,Novel trial - Press,Novel trial -No press
,4275,1.096777262,0.166143199,,,4275,1.096777262,,,,4275,0.166143199,
,4277,-0.13850498,-0.199581139,,,4277,-0.086673423,-0.227318305,,,4277,-0.009684727,-0.78742657
,4236,0.309309735,0.999660948,,,4236,0.38877996,-1.175460627,,,4236,0.999660948,
,4291,0.555467619,0.642330274,,,4291,0.733685627,-0.320522463,,,4291,0.547858082,0.828554405
,4386,0.23506084,0.704129263,,,4386,0.799028563,0.179339041,,,4386,1.282002684,0.563062121
,4475,1.443945493,-0.064677205,,,4475,1.706510129,1.087372257,,,4475,-0.125399829,-0.02879527
,4476,1.150911465,0.696357474,,,4476,1.044610769,0.01247778,,,4476,0.216076337,0.742095992
,4480,0.750161944,0.484389231,,,4480,0.852251665,0.736018942,,,4480,0.551961347,-0.218618224
,4531,0.536572047,0.520660472,,,4531,0.729001949,0.400556532,,,4531,0.430305978,1.134951548
,4532,0.379228921,0.166923736,,,4532,0.95284082,0.390242183,,,4532,0.174995092,0.46378425
,4534,0.779532218,1.23031754,,,4534,0.864097498,0.287905303,,,4534,1.245357669,1.273628762
,,,,,,,,,,,,,
S3D: # Lever out AUC Post-separation,Vole ID,Partner,Novel,,S3E: # Lever out AUC Post-separation,Vole ID,Partner trial - Press,Partner trial -No press,,S3D: # Lever out AUC Post-separation,Vole ID,Novel trial - Press,Novel trial -No press
,4275,0.59275976,0.525824118,,,4275,0.695764182,-1.249734053,,,4275,1.007787533,-1.249734053
,4277,-0.418959467,-0.16187225,,,4277,-0.511766677,-0.355583093,,,4277,-0.16187225,-0.355583093
,4236,-0.309969028,0.198639471,,,4236,-0.371505676,0.702277684,,,4236,0.198639471,0.702277684
,4291,-0.839111167,0.458819191,,,4291,-1.074567922,-0.569260702,,,4291,0.646547451,-0.569260702
,4386,0.415465576,0.979028141,,,4386,1.481111298,-0.458788263,,,4386,1.31062184,-0.458788263
,4475,0.085857881,1.020461328,,,4475,0.178395361,0.02573235,,,4475,1.078060105,0.02573235
,4476,0.046641829,1.151177853,,,4476,0.599539733,-2.942911398,,,4476,,-2.942911398
,4480,1.421390884,4.036458291,,,4480,1.098772201,1.83324583,,,4480,,1.83324583
,4531,,,,,4531,,,,,4531,,
,4532,0.344822461,-0.631449654,,,4532,0.505149696,-0.122656434,,,4532,-0.208383698,-0.122656434
,4534,1.078584125,1.463848408,,,4534,1.263577355,0.440120138,,,4534,1.975101755,0.440120138